"45364","# doc = C:\Users\Александр\Desktop\Olesar\LiveCorpus\Опоздавшие(1)\soccer.2.txt","","","","","","","","","","","","","","","","",""
"45365","","","","","","","","","","","","","","","","","",""
"45366","<speech role=""Баик@"" />","","","","","","","","","","","","","","","","",""
"45394","","про","ПРО","PR","PR","","","я хочу рассказать про свою футбольную карьеру","о","р","п","","","","О","ПРО","PR","PR"
"45395","","свою","СВОЙ","APRO","acc sg plen f","","","хочу рассказать про свою футбольную карьеру ,","ю","о","в","с","","","Й","СВОЙ","A","- acc sg plen f -"
"45396","","футбольную","ФУТБОЛЬНЫЙ","A","- acc sg plen f -","","","рассказать про свою футбольную карьеру , которую","ю","у","н","ь","л","о","Й","ФУТБОЛЬНЫЙ","A","- acc sg plen f -"
"45397","","карьеру","КАРЬЕРА","S","f inan acc sg","","","про свою футбольную карьеру , которую я","у","р","е","ь","р","а","А","КАРЬЕРА","S","f inan acc sg"
"45398","",",",",","PUNCT","","","","",",","","","","","",",",",",",",","
"45399","","которую","КОТОРЫЙ","APRO","acc sg plen f -","","","футбольную карьеру , которую я начал в","ю","у","р","о","т","о","Й","КОТОРЫЙ","A","- acc sg plen f -"
"45400","","я","Я","SPRO","sg 1p - nom","","","карьеру , которую я начал в далеком","я","","","","","","Я","Я","SPRO","sg 1p - nom"
"45401","","начал","НАЧАТЬ","V","pf praet sg indic m","","",", которую я начал в далеком 2004","л","а","ч","а","н","","О","НАЧАЛО","S","n inan gen pl"
"45402","","в","В","PR","PR","","","которую я начал в далеком 2004 году","в","","","","","","В","В","PR","PR"
"45403","","далеком","ДАЛЕКИЙ","A","- loc sg plen m -","","","я начал в далеком 2004 году ,","м","о","к","е","л","а","Й","ДАЛЕКИЙ","A","- loc sg plen m -"
"45404","","2004","2004","NUM","- - -","ciph","","начал в далеком 2004 году , и","4","0","0","2","","","4","2004","NUM","- - -"
"45405","","году","ГОД","S","m inan loc2 sg","","","в далеком 2004 году , и которая","у","д","о","г","","","Д","ГОД","S","m inan loc2 sg"
"45406","",",",",","PUNCT","","","","",",","","","","","",",",",",",",","
"45407","","и","И","CONJ","CONJ","","","2004 году , и которая идет по","и","","","","","","И","И","CONJ","CONJ"
"45408","","которая","КОТОРЫЙ","APRO","- nom sg plen f -","","","году , и которая идет по сей","я","а","р","о","т","о","Й","КОТОРЫЙ","A","- nom sg plen f -"
"45409","","идет","ИДТИ","V","ipf praes sg indic - 3p","","",", и которая идет по сей день","т","е","д","и","","","И","ИДТИ","V","ipf praes sg indic - 3p"
"45410","","по","ПО","PR","PR","","","и которая идет по сей день .","о","п","","","","","О","ПО","PR","PR"
